Name,Role,Type,Units,Description,Missing Values
ID,id,integer,,Record ID (ID): Unique identifier. Cannot be related to participant. It can be used for reference only.,No
AGE,feature,integer,,Age of patient.,No
SEX,feature,binary,,0: female 1: male,No
INF_ANAM,feature,categorical,,Quantity of myocardial infarctions in the anamnesis. 0: zero 1: one 2: two 3: three and more,Yes
STENOK_AN,feature,categorical,,Exertional angina pectoris in the anamnesis. 0: never 1: during the last year 2: one year ago 3: two years ago 4: three years ago 5: 4-5 years ago,Yes
FK_STENOK,feature,categorical,,Functional class (FC) of angina pectoris in the last year. 0: there is no angina pectoris 1: I FC 2: II FC 3: III FC 4: IV FC,Yes
IBS_POST,feature,categorical,,Coronary heart disease (CHD) in recent weeks days before admission to hospital 0: none 1: exertional angina pectoris 2: unstable angina pectoris,Yes
IBS_NASL,feature,binary,,Heredity on CHD 0: isn't burdened 1: burdened,Yes
GB,feature,categorical,,Presence of an essential hypertension 0: there is no essential hypertension 1: Stage 1 2: Stage 2 3: Stage 3,Yes
SIM_GIPERT,feature,binary,,Symptomatic hypertension,Yes
DLIT_AG,feature,categorical,,there was no arterial hypertension 1: one year 2: two years 3: three years 4: four years 5: five years 6: 6-10 years 7: more than 10 years,Yes
ZSN_A,feature,categorical,,Presence of chronic Heart failure (HF) in the anamnesis: Partially ordered attribute: there are two lines of severities: 0<1<2<4. 0<1<3<4. State 4 means simultaneous states 2 and 3 0: there is no chronic heart failure 1: I stage 2: II stage (heart failure due to right ventricular systolic dysfunction) 3: II stage (heart failure due to left ventricular systolic dysfunction) 4: IIB stage (heart failure due to left and right ventricular systolic dysfunction),Yes
nr_11,feature,binary,,Observing of arrhythmia in the anamnesis,Yes
nr_01,feature,binary,,Premature atrial contractions in the anamnesis,Yes
nr_02,feature,binary,,Premature ventricular contractions in the anamnesis,Yes
nr_03,feature,binary,,Paroxysms of atrial fibrillation in the anamnesis,Yes
nr_04,feature,binary,,A persistent form of atrial fibrillation in the anamnesis,Yes
nr_07,feature,binary,,Ventricular fibrillation in the anamnesis,Yes
nr_08,feature,binary,,Ventricular paroxysmal tachycardia in the anamnesis,Yes
np_01,feature,binary,,First-degree AV block in the anamnesis,Yes
np_04,feature,binary,,Third-degree AV block in the anamnesis,Yes
np_05,feature,binary,,LBBB (anterior branch) in the anamnesis,Yes
np_07,feature,binary,,Incomplete LBBB in the anamnesis,Yes
np_08,feature,binary,,Complete LBBB in the anamnesis,Yes
np_09,feature,binary,,Incomplete RBBB in the anamnesis,Yes
np_10,feature,binary,,Complete RBBB in the anamnesis,Yes
endocr_01,feature,binary,,Diabetes mellitus in the anamnesis,Yes
endocr_02,feature,binary,,Obesity in the anamnesis,Yes
endocr_03,feature,binary,,Thyrotoxicosis in the anamnesis,Yes
zab_leg_01,feature,binary,,Chronic bronchitis in the anamnesis,Yes
zab_leg_02,feature,binary,,Obstructive chronic bronchitis in the anamnesis,Yes
zab_leg_03,feature,binary,,Bronchial asthma in the anamnesis,Yes
zab_leg_04,feature,binary,,Chronic pneumonia in the anamnesis,Yes
zab_leg_06,feature,binary,,Pulmonary tuberculosis in the anamnesis,Yes
S_AD_KBRIG,feature,integer,mmHg,Systolic blood pressure according to Emergency Cardiology Team,Yes
D_AD_KBRIG,feature,integer,mmHg,Diastolic blood pressure according to Emergency Cardiology Team,Yes
S_AD_ORIT,feature,integer,mmHg,Systolic blood pressure according to intensive care unit,Yes
D_AD_ORIT,feature,integer,mmHg,Diastolic blood pressure according to intensive care unit,Yes
O_L_POST,feature,binary,,Pulmonary edema at the time of admission to intensive care unit,Yes
K_SH_POST,feature,binary,,Cardiogenic shock at the time of admission to intensive care unit,Yes
MP_TP_POST,feature,binary,,Paroxysms of atrial fibrillation at the time of admission to intensive care unit (or at a pre-hospital stage),Yes
SVT_POST,feature,binary,,Paroxysms of supraventricular tachycardia at the time of admission to intensive care unit (or at a pre-hospital stage),Yes
GT_POST,feature,binary,,Paroxysms of ventricular tachycardia at the time of admission to intensive care unit (or at a pre-hospital stage),Yes
FIB_G_POST,feature,binary,,Ventricular fibrillation at the time of admission to intensive care unit (or at a pre-hospital stage),Yes
ant_im,feature,categorical,,Presence of an anterior myocardial infarction (left ventricular) (ECG changes in leads V1: V4 )  0: there is no infarct in this location  1: QRS has no changes  2: QRS is like QR-complex  3: QRS is like Qr-complex  4: QRS is like QS-complex,Yes
lat_im,feature,categorical,,Presence of a lateral myocardial infarction (left ventricular) (ECG changes in leads V5: V6. I AVL) 0: there is no infarct in this location 1: QRS has no changes 2: QRS is like QR-complex 3: QRS is like Qr-complex 4: QRS is like QS-complex,Yes
inf_im,feature,categorical,,Presence of an inferior myocardial infarction (left ventricular) (ECG changes in leads III AVF II). 0: there is no infarct in this location 1: QRS has no changes 2: QRS is like QR-complex 3: QRS is like Qr-complex 4: QRS is like QS-complex,Yes
post_im,feature,categorical,,Presence of a posterior myocardial infarction (left ventricular) (ECG changes in V7: V9 reciprocity changes in leads V1 – V3) 0: there is no infarct in this location 1: QRS has no changes 2: QRS is like QR-complex 3: QRS is like Qr-complex 4: QRS is like QS-complex,Yes
IM_PG_P,feature,binary,,Presence of a right ventricular myocardial infarction,Yes
ritm_ecg_p_01,feature,binary,,ECG rhythm at the time of admission to hospital: sinus (with a heart rate 60-90),Yes
ritm_ecg_p_02,feature,binary,,ECG rhythm at the time of admission to hospital: atrial fibrillation,Yes
ritm_ecg_p_04,feature,binary,,ECG rhythm at the time of admission to hospital: atrial,Yes
